variavel,coeficiente,erro_padrao,t,p_value,intervalo_95_inf,intervalo_95_sup,feature,correlacao_raw,correlacao_log,possivel_vazamento_target
constante,-10588.55962182898,679.9623062602591,-15.572274410423205,0.0,-11921.279475886957,-9255.839767771002,,,,
item__valorTotalReferencia,0.8063974740048016,0.0031445081824607265,256.44629532296443,0.0,0.8002342669454838,0.8125606810641193,item__valorTotalReferencia,0.8230256924246367,0.16334492592503475,True
agg__itensVencedores__valorTotalReferencia__mean,0.013545724101211671,0.006497449421458831,2.0847756131005535,0.03709253209335195,0.0008107831125838041,0.02628066508983954,agg__itensVencedores__valorTotalReferencia__mean,0.7945859031277894,0.15197736208823334,True
agg__itensVencedores__valorTotalReferencia__min,-0.04173040129436671,0.0052020653114815876,-8.021891075120235,1.1102230246251565e-15,-0.05192640136508859,-0.031534401223644835,agg__itensVencedores__valorTotalReferencia__min,0.7614915774326271,0.12163678957940768,True
agg__contratos__valor__min,-2.5975758150569335,0.014219700257241468,-182.67444236274267,0.0,-2.6254462965190712,-2.5697053335947957,agg__contratos__valor__min,0.750431289419867,0.13970947866287872,False
agg__contratos__valor__mean,3.8913057678742526,0.022342580708923688,174.16545646940662,0.0,3.8475145155834554,3.93509702016505,agg__contratos__valor__mean,0.7452782421993683,0.1521262090796326,False
agg__contratos__valor__max,-0.4915447875536849,0.014021333095431868,-35.05692249147334,0.0,-0.5190264712067342,-0.4640631039006356,agg__contratos__valor__max,0.7136650919009441,0.17124998063837713,False
agg__itensVencedores__valorTotalReferencia__max,-0.019191283930487725,0.0013601932875503039,-14.1092329348655,0.0,-0.02185725023918608,-0.01652531762178937,agg__itensVencedores__valorTotalReferencia__max,0.6874366392797127,0.21808314926798322,True
agg__contratos__valor__sum,-0.681349736741535,0.0053760257367102115,-126.738555600457,0.0,-0.6918866976425677,-0.6708127758405023,agg__contratos__valor__sum,0.6407495802763228,0.1864439480145088,False
agg__participantes__itensProposta__valorTotal__max,-0.01717855772725805,0.0033759564071563566,-5.088501051388851,3.6164076799849454e-07,-0.02379540117406144,-0.010561714280454658,agg__participantes__itensProposta__valorTotal__max,0.549959817604814,0.12011535675570473,True
item__valorUnitarioVencedor,1.0250052515874857,0.0128891552917921,79.52462581005722,0.0,0.9997426259959533,1.0502678771790182,item__valorUnitarioVencedor,0.5378349049636091,0.11906127772277328,True
agg__participantes__itensProposta__valorTotal__mean,0.04049078257045438,0.00341579352670461,11.853990076946454,0.0,0.03379585873645653,0.04718570640445223,agg__participantes__itensProposta__valorTotal__mean,0.5344343261587876,0.08524569350470204,True
agg__itensVencedores__valorUnitarioVencedor__mean,3.0038625261304435,0.18752818921076822,16.018191925024762,0.0,2.6363090034487424,3.3714160488121445,agg__itensVencedores__valorUnitarioVencedor__mean,0.5331561594010846,0.1181372933769408,True
agg__itensVencedores__valorUnitarioVencedor__min,-2.57424083175628,0.14698309520362796,-17.51385646213239,0.0,-2.8623263438284625,-2.2861553196840974,agg__itensVencedores__valorUnitarioVencedor__min,0.5308378574157161,0.11358991286100724,True
item__valorUnitarioReferencia,-0.035506170408337305,0.03118240075638893,-1.1386605760642878,0.2548478336489679,-0.09662338852855136,0.02561104771187675,item__valorUnitarioReferencia,0.5141423485206679,0.1275216530086697,True
agg__itensVencedores__valorUnitarioReferencia__mean,-4.325020808354369,0.19951786825342896,-21.677360760795107,0.0,-4.716073991468454,-3.9339676252402835,agg__itensVencedores__valorUnitarioReferencia__mean,0.5129938103221073,0.12661938631049513,True
agg__itensVencedores__valorUnitarioVencedor__max,0.12607325411280615,0.04527630703381506,2.784530417170444,0.005361667266580827,0.037332109571634284,0.214814398653978,agg__itensVencedores__valorUnitarioVencedor__max,0.5126231142616221,0.11702283149970417,True
agg__itensVencedores__valorUnitarioReferencia__min,1.6766365949122068,0.1510257656359427,11.101659295367169,0.0,1.3806274860480325,1.9726457037763812,agg__itensVencedores__valorUnitarioReferencia__min,0.5119960667706875,0.12416092586204872,True
agg__itensVencedores__valorUnitarioReferencia__max,0.9483470012662725,0.05155061827379431,18.396423418812095,0.0,0.8473082645158364,1.0493857380167086,agg__itensVencedores__valorUnitarioReferencia__max,0.5097898836779511,0.12662104450160722,True
agg__participantes__itensProposta__valorUnitario__mean,1.1588077605971936,0.031685028139987866,36.57272310055892,0.0,1.0967053974371026,1.2209101237572846,agg__participantes__itensProposta__valorUnitario__mean,0.5046812969355448,0.11416125038139953,True
agg__participantes__itensProposta__valorUnitario__max,-0.8314748111236548,0.03132130206410806,-26.546623426503864,0.0,-0.8928642745269494,-0.7700853477203603,agg__participantes__itensProposta__valorUnitario__max,0.5041141250657655,0.11263737487577151,True
