feature,correlacao_raw,correlacao_log,tipo,coluna_origem,correlacao_usada,abs_correlacao_usada,possivel_vazamento_target
item__valorTotalReferencia,0.8230256924246367,0.16334492592503475,numerica,item__valorTotalReferencia,0.8230256924246367,0.8230256924246367,True
agg__itensVencedores__valorTotalReferencia__mean,0.7945859031277894,0.15197736208823334,numerica,agg__itensVencedores__valorTotalReferencia__mean,0.7945859031277894,0.7945859031277894,True
agg__itensVencedores__valorTotalReferencia__min,0.7614915774326271,0.12163678957940768,numerica,agg__itensVencedores__valorTotalReferencia__min,0.7614915774326271,0.7614915774326271,True
agg__contratos__valor__min,0.750431289419867,0.13970947866287872,numerica,agg__contratos__valor__min,0.750431289419867,0.750431289419867,False
agg__contratos__valor__mean,0.7452782421993683,0.1521262090796326,numerica,agg__contratos__valor__mean,0.7452782421993683,0.7452782421993683,False
agg__contratos__valor__max,0.7136650919009441,0.17124998063837713,numerica,agg__contratos__valor__max,0.7136650919009441,0.7136650919009441,False
agg__itensVencedores__valorTotalReferencia__max,0.6874366392797127,0.21808314926798322,numerica,agg__itensVencedores__valorTotalReferencia__max,0.6874366392797127,0.6874366392797127,True
agg__contratos__valor__sum,0.6407495802763228,0.1864439480145088,numerica,agg__contratos__valor__sum,0.6407495802763228,0.6407495802763228,False
agg__participantes__itensProposta__valorTotal__max,0.549959817604814,0.12011535675570473,numerica,agg__participantes__itensProposta__valorTotal__max,0.549959817604814,0.549959817604814,True
item__valorUnitarioVencedor,0.5378349049636091,0.11906127772277328,numerica,item__valorUnitarioVencedor,0.5378349049636091,0.5378349049636091,True
agg__participantes__itensProposta__valorTotal__mean,0.5344343261587876,0.08524569350470204,numerica,agg__participantes__itensProposta__valorTotal__mean,0.5344343261587876,0.5344343261587876,True
agg__itensVencedores__valorUnitarioVencedor__mean,0.5331561594010846,0.1181372933769408,numerica,agg__itensVencedores__valorUnitarioVencedor__mean,0.5331561594010846,0.5331561594010846,True
agg__itensVencedores__valorUnitarioVencedor__min,0.5308378574157161,0.11358991286100724,numerica,agg__itensVencedores__valorUnitarioVencedor__min,0.5308378574157161,0.5308378574157161,True
item__valorUnitarioReferencia,0.5141423485206679,0.1275216530086697,numerica,item__valorUnitarioReferencia,0.5141423485206679,0.5141423485206679,True
agg__itensVencedores__valorUnitarioReferencia__mean,0.5129938103221073,0.12661938631049513,numerica,agg__itensVencedores__valorUnitarioReferencia__mean,0.5129938103221073,0.5129938103221073,True
agg__itensVencedores__valorUnitarioVencedor__max,0.5126231142616221,0.11702283149970417,numerica,agg__itensVencedores__valorUnitarioVencedor__max,0.5126231142616221,0.5126231142616221,True
agg__itensVencedores__valorUnitarioReferencia__min,0.5119960667706875,0.12416092586204872,numerica,agg__itensVencedores__valorUnitarioReferencia__min,0.5119960667706875,0.5119960667706875,True
agg__itensVencedores__valorUnitarioReferencia__max,0.5097898836779511,0.12662104450160722,numerica,agg__itensVencedores__valorUnitarioReferencia__max,0.5097898836779511,0.5097898836779511,True
agg__participantes__itensProposta__valorUnitario__mean,0.5046812969355448,0.11416125038139953,numerica,agg__participantes__itensProposta__valorUnitario__mean,0.5046812969355448,0.5046812969355448,True
agg__participantes__itensProposta__valorUnitario__max,0.5041141250657655,0.11263737487577151,numerica,agg__participantes__itensProposta__valorUnitario__max,0.5041141250657655,0.5041141250657655,True
